"url","title","cover","cover_alt","cover_link","details","dates","venue","location"
"https://facebook.com/events/903659543114220","Closing weekend Cruquiusgilde: Redevice invites Fragments w/ Dana Ruh & Julietta","https://scontent.xx.fbcdn.net/t31.0-0/p526x296/13268223_1038465142896696_5432922498127363588_o.jpg","Cover Photo","https://www.facebook.com/redevicerecordings/photos/gm.903659566447551/1038465142896696/?type=3","Closing weekend Cruquiusgilde (daytime summer edition):\n \n Dana Ruh (Cocoon, Fragments) DE\n Julietta (Slave To The Rhythm, Fragments) DE\n Redevice Soundsystem (Frodo, Pep & Jobbo) \n \n Date: Sunday 17th of July 2016\n Time: 17.00 - LATE\n Cost: 12.- presale/15.- door\n \n Extra long sets - no pussy-footing\n ...\n Limited capacity - only 250 tickets available:\n https://www.intoparty.com/nl/redeviceinvitesfragments/3989/selectticket/\n \n Let's make it last! See More",,,
"https://facebook.com/events/903659543114220",,"","",,,"Sunday, July 17","Cruquiusgilde","Cruquiusweg 124a, 1019 AK Amsterdam, Netherlands"
"https://facebook.com/events/903659543114220",,"","",,,,,"www.intoparty.com"
"https://facebook.com/events/459311424268566","Beyoncé - The Formation World Tour 2016","https://scontent.xx.fbcdn.net/t31.0-0/q83/p526x395/12697304_1014079075329835_8740274916815070829_o.jpg","Cover Photo","https://www.facebook.com/amsterdamarena/photos/gm.459311614268547/1014079075329835/?type=3",,"Saturday, July 16","Amsterdam ArenA","ArenA Boulevard 1, 1101 xj Amsterdam, Netherlands"
"https://facebook.com/events/699637296840996","LATIN PARK","https://scontent.xx.fbcdn.net/t31.0-0/p526x296/13221354_1719295491677439_7477027273831209347_o.jpg","Cover Photo","https://www.facebook.com/latinpark010/photos/gm.699637390174320/1719295491677439/?type=3","WE ARE BACK WITH THE 3RD EDITION \n SATURDAY 16TH OFJULY 2016\n \n **''LATIN PARK''** \n #Where #music #culture #food #dancing #and #lots #of #excitement #meets\n \n LIVE BANDS:\n EXTAZZ \n INDOLATINO \n CELEBRATE IN TIME \n QUE BUENO QUE SON\n ...\n DJ'S: \n DJ BAS \n DJ ZUNILS\n DJ DONNIE \n DJ JACK \n DJ Ryad\n \n DANCE:\n PASIONATA (Bachata) \n ANNIKA (Kizomba)\n ESTILO / DIFRUTANDO (Salsa show)\n \n Strictly Music: \n MERENGUE | SALSA | BACHATA | ZOUK | KIZOMBA | REGGEATON | MAMBO LATIN | CARIBBEAN | RnB.....\n \n START: 13.00 till 22.00hrs\n Buy your Early bird tickets ONLINE : Only €5,- \n At the gate you will pay more..\n \n Buy your early bird tickets now, Click Here: \n https://shop.ticketscript.com/channel/web2/start-order/rid/MFKYFCRG/language/nl\n \n Location: ZUIDERPARK ROTTERDAM (naast AHOY)\n Voor kraampjes bel : Mike: +31634146527 of Dj ZunilS: +31684394364 See More","Saturday, July 16","Zuiderpark","3084 BB Rotterdam, Netherlands"
"https://facebook.com/events/1018688018168715","Zomerfeest Blijburg","https://scontent.xx.fbcdn.net/v/t1.0-9/13254306_1115433415189175_6713228159353233778_n.jpg?oh=b0bd4b460ba6af1ec3819bca28635b36&oe=57F42A16","Cover Photo","https://www.facebook.com/blijburg/photos/gm.1018794784824705/1115433415189175/?type=3","ZOMERFEEST BLIJBURG\n \n Wij gaan de zomer vieren!\n De gypsy familie verzamelt voor een dans rondom het vuur. \n Een dans in het Blijburgse zand, in het licht van de zonsondergang. \n Een viering met live muziek, voedsel op het vuur, zwierende rokken, tipi's, huifkarren en een nacht vol diepe melodieuze beats. \n Drie dansplekken staan tot onze beschikken ieder met een heel eigen verhaal. \n \n DE KAPEL \n Aan het begin van de avond wordt de Kapel in stijl geopend door dj favoriet Forest of Heroes. Bekend van Shoeless en Hemeltjelief. De ultieme sfeerneerzetter. Op zijn tunes wordt er gedineerd aan lange tafels, blote voeten in het zand, turend naar het water. Tijdens het diner wordt er rondom de lange tafels akoestisch gespeel...d door een acht-koppige(!) gypsyband genaamd Ogto Gadje.\n \n Als het diner erop zit, worden de eerste danspasjes gedaan op een eigenzinnig collectief uit Utrecht: Kako Da Ne 'Tropical Bass Explosion' zoals ze het zelf omschrijven. Na deze explosie wordt de spanning toch nog een stukje opgevoerd met LOONALOOP, live! Deze bekende Australische band komt net terug van hun optreden op Glastonbury. Loonaloop is een muzikale ervaring die oppikt en even in een andere dimensie laat dansen.\n \n Om de cirkel rond te maken is het daarna de beurt aan Trippin Jaguar. Deze beruchte katachtige die tegenwoordig als dj de wereld afreist neemt je een stukje dieper mee op avontuur, hup de jungle in. Sjamanen die fluisteren, spirits die wakker worden, mooie beats en verfijnde trommels. \n \n DE SALON \n Habitat doet mee! Habitat is een rondreizend feestjesverhaal. Zo waren ze al in de Radion en in de Toren te vinden. Het is hun missie om een leefomgeving te creëren waarin nachtvlinders, showpaarden, vreemde eenden, roedelleiders, sloddervossen en schouderapen met een liefde voor goede muziek kunnen bloeien en gedijen. Zij roepen hun verschillende creatieve roedels op om een habitat te creëren aan het strand. Voor de gelegenheid komt een een muzikale nachtvlinder uit Rotterdam speciaal overvliegen. Moody Mehran en zijn housy tunes staan samen met parade-dj-paardjes Fowls - Amsterdam & Boris van Reev 100% paraat voor een kleurrijke nacht.\n \n DE KELDER \n Afrobeat Afterparty tot de late uurtjes\n Hotmamahot heeft de eer onze gelieve kelder om te toveren tot een gypsy jungle. Met hun rare records from under the radar verrassen ze je met tunes van over de hele wereld.\n \n Een zomernacht.\n A gypsy feast.\n Flamenco.\n Hottubs, sauna en water!\n Lang gedekte tafels staan al om 18u voor je klaar. \n Schuif aan en trek je mooiste gypsy pak uit de kast!\n Vergeet \n \n De Vroege Zonnetjes tickets zijn uitverkocht!\n We hebben nog wat Gemiddelde Maantjes om uiteindelijk uit te komen op wat Late Sterren.\n Inclusief of exclusief diner.\n Om 19u kan iedereen aan tafel, tot uiterlijk 21u. Dus wees op tijd, gezellig als we samen eten. \n \n Tickets: http://bit.ly/1sU4204\n \n Vergeet je handdoek niet! See More",,,
"https://facebook.com/events/1018688018168715",,"","",,,"Saturday, July 16","Blijburg Aan Zee","Pampuslaan 501, 1087 LA Amsterdam, Netherlands"
"https://facebook.com/events/1018688018168715",,"","",,,,,"shop.ticketscript.com"
"https://facebook.com/events/1694888210727037","The Social Garden 2016","https://scontent.xx.fbcdn.net/t31.0-8/s851x315/13700986_1085591411520777_5842891224637836190_o.jpg","Cover Photo","https://www.facebook.com/supersocial23/photos/gm.1759496700932854/1085591411520777/?type=3","We hebben nog tickets aan de deur (€35) voor de laat beslissers en de online kaartverkoop loopt gewoon lekker door. Tickets haal je hier: www.socialgarden.nl\n \n Timetable: http://socialgarden.nl/\n \n THE MAIN GARDEN \n Aeroplane (BE)\n Darius (FR)\n The Flexican\n Super Social (DJ Set)\n Festimi Soundsystem\n Emanuelle Vos\n Vriendje van Ferry...\n Lo Andela & Tom Caron\n \n DISCO DOLLY STAGE \n DJ Kon (USA)\n FS Green & Elias Mazian\n KERK!\n Tim Hoeben & Julien Simmons\n Kremlin Disko & Guy Gravier\n Max Abysmal & Tim Jules\n \n BASKETS x PUMA STAGE \n Girls Love DJs (HipHop set)\n Yung Internet (LIVE)\n Donnie (LIVE)\n Big 2 (DJ set)\n Dj Abstract\n Full Crate\n Wantigga\n Boehmer\n Waterkant Amsterdam DJ TEAM\n Urvinho & Faya B2B Gurney-Champion\n \n ...meer info over food, horeca en andere gezelligheden volgt snel! Stay tuned & turned up!\n ------------------------------------------\n TICKETS: bit.ly/ticketsTSG2016\n \n Bird Day: €19,50 (SOLD OUT)\n Early Bird: € 24,50 (SOLD OUT)\n Normal: € 29,50 (SOLD OUT)\n Family tickets: €75 (SOLD OUT)\n Final Tickets: €32,50\n Mega Family Tickets: €135 (1 ticket is geldig voor 5 personen)\n ------------------------------------------\n The Social Garden 2016\n Zaterdag 16 juli | Amsterdam\n 12:00 - 23:00 | 18+\n \n Web & Tickets: www.socialgarden.nl\n Instafun: https://instagram.com/thesocialgarden/\n Soundcloud: https://soundcloud.com/social-garden See More",,,
"https://facebook.com/events/1694888210727037",,"","",,,"Saturday, July 16",,
"https://facebook.com/events/1694888210727037",,"","",,,,,"frontoffice.paylogic.nl"
"https://facebook.com/events/1093479094048977","Buiten Westen 2016","https://scontent.xx.fbcdn.net/t31.0-0/q82/p526x296/13603356_944691948973790_6543031316497915930_o.jpg","Cover Photo","https://www.facebook.com/BuitenWesten/photos/gm.1179774252086127/944691948973790/?type=3","Buiten Westen 2016\n 16 JULI ➳ OUDERKERKERPLAS\n www.buitenwesten.am\n \n ➳ PLEINVREES\n &ME\n Bas Dobbelaer\n Frankey & Sandrino\n Illesnoise\n Konstantin Sibold\n Miss Melera & Olivier Weiter\n Oliver Koletzki...\n \n ➳ NEXT MONDAY'S HANGOVER\n Agoria\n Jennifer Cardini\n Massimiliano Pagliara\n Patrice Bäumel & Nuno Dos Santos\n Some Chemistry & Jorn Liefdeshuis\n Tsepo & Pieter Jansen\n \n ➳ CARTEL\n Antal\n Bambounou\n Hunee\n Jeremy Underground\n Mino Abadier\n Tama Sumo\n \n ➳ LET\n Carlos Valdes\n Deniro\n Efdemin & Nick Höppner\n JP Enfant\n Konstantin\n Molly\n \n ➳ PAARDENKRACHT\n Boye\n Guy Gravier & Lumière\n Melon\n Mr Mendel\n The Primo Kremlin Discko\n Vriendje van Ferry\n \n \n ➳ TICKETS\n Early birds uitverkocht. Regular tickets €42.50.\n www.buitenwesten.am/#tickets\n \n \n ➳ VIJF JAAR BUITEN WESTEN\n Een jubileum is een mooie kans om vooruit te kijken, en Buiten Westen is ook klaar voor een volgend hoofdstuk. Terug naar de oorsprong: een spannend programma van muziek, kunst en creativiteit, op een geweldige locatie. We gaan dit jaar alvast grote stappen maken, te beginnen met...\n \n ➳ NAAR HET PARADIJS\n Buiten Westen gaat verhuizen naar de Ouderkerkerplas! Een stap die er al een tijdje aan zat te komen. Want ondanks 4 geweldige jaren, waarin we hebben genoten van een heerlijke locatie in de binnenstad van Amsterdam, is het tijd om onze creatieve dromen verder achterna te jagen!\n \n Na een lange zoektocht hebben we ons paradijs in de Ouderkerkerplas gevonden: meer bomen, gras, water, strandjes en ruim twee keer zoveel oppervlakte per bezoeker. Hallelujah!\n \n 18+ See More",,,
"https://facebook.com/events/1093479094048977",,"","",,,"Saturday, July 16","Ouderkerkerplas","1191 Ouderkerk aan de Amstel"
"https://facebook.com/events/1093479094048977",,"","",,,,,"www.buitenwesten.am"
"https://facebook.com/events/609194605906734","Nachtdigital & Whoosah Present: Nachtiwhoosah w/ Steffen Bennemann / Manamana / Gisberto","https://scontent.xx.fbcdn.net/v/t1.0-9/p843x403/13412891_1211749935535887_3325540355225265007_n.jpg?oh=c231794405dd9907184bd81f0476c845&oe=583089BA","Cover Photo","https://www.facebook.com/Whoosahbeachclub/photos/gm.609194635906731/1211749935535887/?type=3",,"Sunday, July 17; Jul 17 at 4:00 PM to Jul 18 at 1:30 AM in UTC+02","Whoosah Beachclub","Zwarte Pad 66, 2586 JM Scheveningen, Zuid-Holland, Netherlands"
"https://facebook.com/events/263436533999246","Expedition 2016 › Euromastpark › Full line-up announced!","https://scontent.xx.fbcdn.net/t31.0-8/q86/p843x403/12977019_631886996960534_3568883135756520830_o.jpg","Cover Photo","https://www.facebook.com/jointheexpedition/photos/gm.263436573999242/631886996960534/?type=3","Expedition verhuist naar het Euromastpark! Het mooiste park van Rotterdam krijgt op zaterdag 16 juli eindelijk een live-elektronisch muziekfestival.\n \n Expedition gaat dit jaar breder en grootser met meer nadruk op live artiesten.\n \n Tickets kosten €36, inc fee.\n \n » Line up\n \n Annabel Stage\n › Róisín Murphy\n › Rico & Sticks #OpgezwolleTotNu\n › Lee Scratch Perry & Mad Professor...\n › My Baby\n › Hans de Booij\n \n DJBroadcast Stage\n › Derrick May\n › Juan Atkins\n › Kevin Saunderson\n › Octave One\n › Niet Zo Vierkant\n › Orlando Voorn\n \n Pip Den Haag Stage\n › Giorgio Moroder\n › Bappi Lahiri & Orchestra\n › Cairo Liberation Front\n › David Vunk\n › Afrobot\n › Primus Inter Pares\n › Radio Noet-Noet\n \n Secret Stage\n › Djoevenile\n › Roop\n › Mr Nice guy\n › Vanity Ball & Evelyn Rae\n \n WARSTEINER Sessions in de Euromast\n › Faberyayo\n \n » Tickets\n \n › Blind Bird €30 - uitverkocht!\n › Early Bird €33 - uitverkocht!\n › Regular €36 (inc fee)\n www.expeditionfestival.nl\n \n Volg Expedition op instagram: @expeditionfestival\n \n » Partners\n \n › DJBroadcast\n › Annabel\n › Pip Den Haag\n › ZUS\n › Red Bull\n › Mothership\n › WARSTEINER\n › Bacardi\n › Euromast\n \n Minderjarigen zijn onder begeleiding welkom! See More",,,
"https://facebook.com/events/263436533999246",,"","",,,"Saturday, July 16","Euromastpark","Rotterdam, Netherlands"
"https://facebook.com/events/263436533999246",,"","",,,,,"www.expeditionfestival.nl"
